iter	RMSE
0	11363.39875
1	11035.07714
2	10748.18406
3	10465.79408
4	10188.60734
5	9918.291817
6	9700.405318
7	9439.79006
8	9213.190154
9	8995.716781
10	8788.667366
11	8584.460277
12	8383.237108
13	8213.930711
14	8038.613129
15	7860.599288
16	7709.620208
17	7538.509857
18	7393.928733
19	7249.967519
20	7114.107282
21	7006.647092
22	6895.726734
23	6764.758887
24	6654.945184
25	6551.289009
26	6452.228934
27	6351.937295
28	6256.448047
29	6157.819588
30	6068.732015
31	5979.609406
32	5892.257028
33	5818.058517
34	5740.9954
35	5674.643315
36	5606.148288
37	5547.225308
38	5493.234256
39	5434.888544
40	5379.849153
41	5331.594169
42	5283.309845
43	5235.593645
44	5189.520967
45	5144.012872
46	5103.348918
47	5070.932622
48	5032.140836
49	4996.044935
50	4960.689263
51	4925.897448
52	4891.405056
53	4862.233163
54	4833.264067
55	4806.500801
56	4781.36819
57	4756.929028
58	4737.234955
59	4714.084962
60	4693.478936
61	4677.868475
62	4666.832022
63	4644.207945
64	4622.193263
65	4602.132703
66	4581.91352
67	4566.611141
68	4550.753594
69	4533.40572
70	4517.54039
71	4502.774807
72	4486.523694
73	4472.035365
74	4460.517255
75	4447.157338
76	4432.918541
77	4421.786059
78	4410.86796
79	4403.790088
80	4393.574892
81	4384.295208
82	4372.110186
83	4362.113403
84	4348.968124
85	4339.919231
86	4330.911092
87	4322.59614
88	4320.285538
89	4314.041384
90	4304.595841
91	4301.018356
92	4291.43164
93	4284.081671
94	4279.70764
95	4270.056602
96	4262.659752
97	4256.408038
98	4250.239239
99	4244.224933
100	4235.986212
101	4228.947455
102	4221.932595
103	4216.997988
104	4212.063279
105	4204.083714
106	4202.269172
107	4194.351273
108	4190.524519
109	4181.539553
110	4176.888262
111	4171.230526
112	4169.706192
113	4163.289252
114	4159.964293
115	4156.440873
116	4150.813246
117	4146.655016
118	4143.497561
119	4133.810701
120	4127.106372
121	4126.250549
122	4122.102354
123	4118.687725
124	4116.527677
125	4110.667248
126	4104.775111
127	4096.851021
128	4094.203239
129	4088.61802
130	4080.774854
131	4077.467153
132	4076.395083
133	4075.514179
134	4069.730281
