iter	Passed	Remaining
0	7	7206
1	11	5982
2	15	5018
3	17	4455
4	19	3968
5	26	4360
6	28	4061
7	32	4008
8	33	3705
9	38	3818
10	40	3638
11	44	3691
12	50	3866
13	58	4113
14	59	3914
15	61	3798
16	64	3732
17	66	3650
18	68	3533
19	70	3446
20	72	3366
21	74	3293
22	75	3185
23	77	3157
24	79	3111
25	81	3059
26	83	3008
27	85	2968
28	87	2935
29	89	2903
30	92	2888
31	94	2844
32	95	2807
33	97	2775
34	100	2758
35	102	2747
36	103	2700
37	105	2676
38	108	2663
39	110	2642
40	112	2624
41	114	2601
42	115	2580
43	117	2544
44	118	2518
45	120	2504
46	123	2497
47	124	2470
48	126	2456
49	128	2441
50	130	2427
51	132	2410
52	134	2394
53	135	2378
54	138	2371
55	140	2360
56	141	2347
57	143	2334
58	145	2321
59	147	2309
60	149	2297
61	150	2272
62	151	2255
63	153	2248
64	155	2237
65	157	2226
66	159	2214
67	160	2204
68	162	2191
69	164	2181
70	166	2172
71	168	2175
72	171	2172
73	173	2165
74	174	2156
75	176	2149
76	178	2141
77	180	2132
78	182	2122
79	183	2114
80	186	2111
81	187	2104
82	189	2098
83	191	2091
84	193	2084
85	195	2075
86	197	2067
87	200	2075
88	200	2055
89	202	2047
90	204	2040
91	205	2023
92	206	2016
93	208	2007
94	209	1996
95	211	1993
96	213	1990
97	215	1987
98	217	1982
99	219	1977
100	221	1973
101	223	1966
102	225	1959
103	227	1957
104	229	1954
105	231	1949
106	231	1934
107	233	1929
108	235	1923
109	237	1918
110	239	1914
111	240	1910
112	241	1897
113	244	1897
114	245	1892
115	247	1888
116	249	1882
117	251	1876
118	252	1870
119	254	1866
120	256	1862
121	257	1850
122	260	1854
123	261	1849
124	263	1845
125	265	1842
126	267	1836
127	269	1833
128	271	1830
129	273	1827
130	275	1824
131	276	1820
132	277	1808
133	278	1797
134	280	1795
135	282	1791
136	284	1792
137	286	1788
138	288	1785
139	290	1784
140	292	1781
141	294	1776
142	296	1774
143	298	1773
144	300	1770
145	302	1768
146	304	1767
147	306	1762
148	307	1758
149	309	1754
150	311	1749
151	312	1740
152	313	1737
153	315	1733
154	317	1729
155	318	1725
156	320	1722
157	322	1719
158	324	1715
159	325	1710
160	327	1708
161	329	1704
162	331	1700
163	332	1695
164	334	1692
165	336	1690
166	338	1688
167	340	1685
168	341	1680
169	343	1677
170	345	1673
171	346	1668
172	348	1665
173	350	1662
174	352	1661
175	354	1657
176	355	1653
177	357	1649
178	358	1646
179	360	1642
180	362	1638
181	363	1635
182	365	1632
183	367	1630
184	369	1627
185	371	1623
186	372	1620
187	374	1617
188	376	1614
189	377	1610
190	379	1606
191	380	1603
192	383	1601
193	384	1598
194	386	1594
195	387	1591
196	389	1588
197	391	1584
198	392	1580
199	394	1577
200	396	1575
201	398	1572
202	400	1571
203	401	1567
204	403	1564
205	404	1560
206	406	1557
207	408	1554
208	409	1550
209	411	1548
210	413	1547
211	415	1545
212	417	1541
213	418	1538
214	420	1535
215	422	1534
216	424	1531
217	426	1528
218	427	1526
219	429	1523
220	431	1520
221	433	1517
222	434	1515
223	436	1511
224	437	1508
225	439	1505
226	441	1502
227	444	1505
228	446	1502
229	448	1500
230	449	1497
231	451	1495
232	453	1492
233	455	1489
234	456	1487
235	459	1487
236	461	1485
237	463	1483
238	465	1480
239	466	1478
240	468	1476
241	470	1473
242	472	1472
243	474	1471
244	476	1469
245	478	1467
246	480	1464
247	482	1462
248	484	1459
249	486	1458
250	487	1455
251	490	1455
252	492	1453
253	493	1450
254	495	1448
255	497	1446
256	499	1444
257	501	1442
258	503	1439
259	505	1438
260	507	1436
261	509	1434
262	511	1432
263	512	1429
264	514	1426
265	516	1425
266	518	1422
267	520	1421
268	522	1420
269	524	1417
270	525	1414
271	527	1412
272	529	1409
273	531	1407
274	532	1405
275	534	1403
276	536	1401
277	538	1398
278	540	1396
279	541	1392
280	543	1390
281	544	1387
282	546	1385
283	548	1383
284	550	1380
285	552	1378
286	553	1375
287	555	1372
288	556	1369
289	558	1367
290	560	1365
291	562	1362
292	563	1359
293	565	1357
294	567	1355
295	568	1352
296	570	1349
297	571	1346
298	573	1344
299	575	1341
300	576	1339
301	578	1336
302	579	1334
303	581	1331
304	583	1329
305	585	1326
306	586	1324
307	588	1322
308	590	1320
309	592	1317
310	593	1315
311	595	1313
312	597	1311
313	599	1308
314	600	1306
315	602	1303
316	604	1301
317	605	1298
318	607	1296
319	608	1293
320	610	1290
321	612	1288
322	613	1286
323	615	1283
324	617	1281
325	618	1279
326	620	1276
327	621	1274
328	623	1271
329	625	1269
330	626	1266
331	628	1264
332	630	1262
333	631	1259
334	633	1258
335	635	1255
336	637	1253
337	638	1251
338	640	1249
339	642	1246
340	643	1244
341	645	1241
342	647	1240
343	648	1237
344	650	1235
345	652	1232
346	653	1230
347	655	1228
348	657	1225
349	658	1223
350	660	1221
351	662	1219
352	664	1217
353	665	1214
354	667	1211
355	668	1209
356	670	1207
357	671	1204
358	673	1202
359	675	1200
360	677	1198
361	678	1196
362	680	1194
363	682	1191
364	683	1189
365	685	1187
366	686	1184
367	688	1182
368	690	1180
369	692	1179
370	694	1176
371	695	1174
372	697	1171
373	698	1169
374	700	1167
375	702	1165
376	703	1163
377	706	1161
378	707	1160
379	709	1158
380	711	1155
381	713	1153
382	714	1151
383	716	1149
384	717	1146
385	719	1145
386	722	1143
387	723	1141
388	725	1139
389	727	1137
390	728	1135
391	730	1132
392	732	1130
393	733	1128
394	736	1127
395	737	1125
396	739	1122
397	740	1120
398	742	1118
399	743	1115
400	745	1113
401	747	1111
402	748	1108
403	750	1107
404	752	1105
405	754	1103
406	755	1101
407	757	1099
408	759	1097
409	760	1094
410	762	1092
411	763	1090
412	765	1088
413	767	1086
414	769	1084
415	770	1082
416	772	1080
417	774	1078
418	775	1075
419	777	1073
420	779	1071
421	780	1069
422	782	1067
423	784	1065
424	785	1063
425	787	1061
426	789	1059
427	790	1057
428	792	1054
429	794	1053
430	797	1052
431	799	1050
432	801	1049
433	803	1047
434	804	1045
435	806	1043
436	808	1041
437	810	1039
438	812	1038
439	813	1035
440	815	1033
441	817	1031
442	818	1029
443	820	1027
444	822	1025
445	823	1023
446	825	1020
447	827	1019
448	828	1017
449	830	1015
450	832	1013
451	833	1010
452	835	1008
453	837	1007
454	839	1005
455	841	1003
456	842	1001
457	844	999
458	846	997
459	847	995
460	849	993
461	851	991
462	852	989
463	854	987
464	856	985
465	858	984
466	860	982
467	862	980
468	863	977
469	865	976
470	867	974
471	869	972
472	871	970
473	872	968
474	874	966
475	876	964
476	878	962
477	880	961
478	881	959
479	883	957
480	885	955
481	887	953
482	889	951
483	891	950
484	892	948
485	894	946
486	896	944
487	898	942
488	899	940
489	901	938
490	903	936
491	905	934
492	907	932
493	909	931
494	911	929
495	912	927
496	914	925
497	916	923
498	918	921
499	919	919
500	921	918
501	923	916
502	925	914
503	927	912
504	929	910
505	931	909
506	932	907
507	935	905
508	937	903
509	939	902
510	941	901
511	943	899
512	947	899
513	954	902
514	956	900
515	959	899
516	961	898
517	964	897
518	969	898
519	973	898
520	976	898
521	979	896
522	982	896
523	985	895
524	988	894
525	991	893
526	993	891
527	996	890
528	1000	890
529	1005	891
530	1008	890
531	1014	892
532	1022	895
533	1025	894
534	1031	896
535	1036	897
536	1038	895
537	1042	895
538	1046	895
539	1049	893
540	1054	894
541	1062	897
542	1067	898
543	1070	897
544	1073	896
545	1075	894
546	1080	894
547	1083	893
548	1085	891
549	1087	889
550	1089	887
551	1091	885
552	1093	883
553	1095	881
554	1096	879
555	1099	878
556	1101	875
557	1102	873
558	1104	871
559	1106	869
560	1108	867
561	1110	865
562	1112	863
563	1115	862
564	1117	860
565	1119	858
566	1121	856
567	1123	854
568	1127	853
569	1129	852
570	1132	850
571	1134	848
572	1137	847
573	1139	845
574	1144	845
575	1146	843
576	1148	841
577	1151	840
578	1154	839
579	1157	838
580	1160	836
581	1162	834
582	1164	833
583	1167	831
584	1169	829
585	1172	828
586	1175	827
587	1177	825
588	1181	824
589	1184	823
590	1186	821
591	1188	819
592	1190	817
593	1192	815
594	1194	813
595	1196	811
596	1199	809
597	1202	808
598	1214	812
599	1217	811
600	1219	809
601	1225	809
602	1229	809
603	1235	809
604	1238	808
605	1241	807
606	1245	806
607	1250	806
608	1256	806
609	1261	806
610	1263	804
611	1266	803
612	1269	801
613	1272	800
614	1292	809
615	1294	807
616	1296	804
617	1298	802
618	1300	800
619	1302	798
620	1306	797
621	1309	796
622	1311	793
623	1313	791
624	1315	789
625	1317	786
626	1319	785
627	1323	783
628	1325	781
629	1328	780
630	1330	778
631	1332	776
632	1334	774
633	1336	771
634	1339	769
635	1341	767
636	1343	765
637	1345	763
638	1347	761
639	1349	758
640	1351	756
641	1353	754
642	1355	752
643	1357	750
644	1361	749
645	1362	746
646	1364	744
647	1366	742
648	1368	740
649	1370	738
650	1372	735
651	1374	733
652	1376	731
653	1379	729
654	1380	727
655	1382	725
656	1384	722
657	1386	720
658	1388	718
659	1389	716
660	1391	713
661	1393	711
662	1395	709
663	1397	707
664	1399	704
665	1401	702
666	1402	700
667	1404	698
668	1406	695
669	1408	693
670	1410	691
671	1411	689
672	1413	686
673	1415	684
674	1417	682
675	1418	680
676	1421	678
677	1422	675
678	1424	673
679	1426	671
680	1428	669
681	1430	667
682	1432	664
683	1434	662
684	1436	660
685	1438	658
686	1440	656
687	1442	654
688	1445	652
689	1447	650
690	1449	648
691	1451	646
692	1453	643
693	1455	641
694	1457	639
695	1459	637
696	1461	635
697	1463	633
698	1465	630
699	1467	628
700	1469	626
701	1471	624
702	1472	622
703	1474	620
704	1476	617
705	1478	615
706	1481	613
707	1483	611
708	1485	609
709	1487	607
710	1488	605
711	1492	603
712	1494	601
713	1496	599
714	1498	597
715	1500	595
716	1502	593
717	1504	590
718	1508	589
719	1511	587
720	1513	585
721	1515	583
722	1517	581
723	1519	579
724	1521	577
725	1524	575
726	1526	573
727	1528	571
728	1531	569
729	1533	567
730	1534	564
731	1536	562
732	1538	560
733	1541	558
734	1545	557
735	1547	555
736	1549	552
737	1551	550
738	1553	548
739	1554	546
740	1556	544
741	1558	541
742	1560	539
743	1562	537
744	1563	535
745	1565	533
746	1567	530
747	1569	528
748	1571	526
749	1572	524
750	1575	522
751	1578	520
752	1579	518
753	1581	515
754	1583	513
755	1585	511
756	1587	509
757	1589	507
758	1591	505
759	1593	503
760	1595	500
761	1597	498
762	1599	496
763	1601	494
764	1603	492
765	1605	490
766	1608	488
767	1610	486
768	1612	484
769	1614	482
770	1615	479
771	1618	477
772	1619	475
773	1622	473
774	1625	471
775	1626	469
776	1628	467
777	1630	465
778	1632	463
779	1634	461
780	1636	458
781	1639	456
782	1641	454
783	1642	452
784	1644	450
785	1646	448
786	1648	446
787	1650	444
788	1652	441
789	1655	439
790	1656	437
791	1658	435
792	1660	433
793	1662	431
794	1664	429
795	1666	427
796	1669	425
797	1671	423
798	1674	421
799	1676	419
800	1679	417
801	1681	415
802	1684	413
803	1686	411
804	1688	409
805	1690	406
806	1692	404
807	1694	402
808	1696	400
809	1698	398
810	1701	396
811	1703	394
812	1705	392
813	1707	390
814	1709	387
815	1710	385
816	1712	383
817	1715	381
818	1716	379
819	1718	377
820	1720	375
821	1723	373
822	1725	371
823	1727	368
824	1729	366
825	1731	364
826	1733	362
827	1735	360
828	1737	358
829	1739	356
830	1740	354
831	1742	351
832	1744	349
833	1746	347
834	1748	345
835	1750	343
836	1751	341
837	1753	338
838	1755	336
839	1757	334
840	1759	332
841	1761	330
842	1763	328
843	1764	326
844	1766	324
845	1769	322
846	1770	319
847	1773	317
848	1776	315
849	1778	313
850	1779	311
851	1781	309
852	1783	307
853	1785	305
854	1787	303
855	1789	301
856	1791	298
857	1793	296
858	1795	294
859	1797	292
860	1799	290
861	1801	288
862	1803	286
863	1806	284
864	1808	282
865	1810	280
866	1811	277
867	1813	275
868	1815	273
869	1817	271
870	1819	269
871	1821	267
872	1822	265
873	1824	263
874	1826	260
875	1827	258
876	1829	256
877	1832	254
878	1834	252
879	1836	250
880	1838	248
881	1839	246
882	1841	244
883	1843	241
884	1844	239
885	1847	237
886	1848	235
887	1850	233
888	1852	231
889	1854	229
890	1856	227
891	1857	224
892	1859	222
893	1861	220
894	1863	218
895	1864	216
896	1866	214
897	1868	212
898	1869	210
899	1871	207
900	1873	205
901	1875	203
902	1876	201
903	1878	199
904	1880	197
905	1882	195
906	1884	193
907	1886	191
908	1888	189
909	1890	186
910	1892	184
911	1894	182
912	1896	180
913	1898	178
914	1899	176
915	1901	174
916	1903	172
917	1906	170
918	1908	168
919	1910	166
920	1911	163
921	1913	161
922	1915	159
923	1917	157
924	1919	155
925	1921	153
926	1923	151
927	1925	149
928	1927	147
929	1929	145
930	1931	143
931	1932	141
932	1934	138
933	1936	136
934	1938	134
935	1939	132
936	1941	130
937	1942	128
938	1944	126
939	1946	124
940	1948	122
941	1949	120
942	1951	117
943	1953	115
944	1954	113
945	1956	111
946	1958	109
947	1960	107
948	1961	105
949	1963	103
950	1965	101
951	1966	99
952	1968	97
953	1970	94
954	1971	92
955	1973	90
956	1975	88
957	1977	86
958	1978	84
959	1980	82
960	1982	80
961	1983	78
962	1985	76
963	1987	74
964	1988	72
965	1991	70
966	1992	68
967	1994	65
968	1996	63
969	1998	61
970	2000	59
971	2002	57
972	2003	55
973	2005	53
974	2007	51
975	2008	49
976	2010	47
977	2012	45
978	2014	43
979	2016	41
980	2018	39
981	2019	37
982	2021	34
983	2023	32
984	2025	30
985	2026	28
986	2028	26
987	2030	24
988	2032	22
989	2034	20
990	2036	18
991	2037	16
992	2039	14
993	2040	12
994	2042	10
995	2044	8
996	2046	6
997	2048	4
998	2050	2
999	2051	0
2	4
998	2044	2
999	2046	0
