,name,customer_id,rating
0,Vision-oriented 3rdgeneration data-warehouse,172,5
1,Operative asymmetric benchmark,242,5
2,Face-to-face uniform service-desk,238,5
3,Face-to-face uniform service-desk,78,5
4,Profound next generation open architecture,249,5
5,Operative asymmetric benchmark,85,5
6,Implemented multi-tasking conglomeration,197,5
7,Triple-buffered discrete process improvement,102,5
8,Operative asymmetric benchmark,122,5
9,Profound next generation open architecture,243,5
10,Fundamental incremental structure,229,5
11,Fundamental incremental structure,65,5
12,Open-architected bottom-line infrastructure,166,5
13,Triple-buffered discrete process improvement,112,5
14,Synchronized full-range strategy,186,5
15,Operative asymmetric benchmark,222,5
16,Fundamental incremental structure,90,5
17,Triple-buffered discrete process improvement,121,5
18,Implemented multi-tasking conglomeration,69,5
19,Fundamental incremental structure,216,5
20,Operative asymmetric benchmark,130,5
21,Synchronized full-range strategy,129,5
22,Operative asymmetric benchmark,223,5
23,Triple-buffered analyzing paradigm,221,5
24,Implemented multi-tasking conglomeration,176,5
25,Open-source regional approach,161,5
26,Distributed multi-state product,105,5
27,Programmable regional installation,53,5
28,Face-to-face uniform service-desk,99,5
29,Open-source regional approach,83,5
30,Face-to-face uniform service-desk,62,5
31,Programmable regional installation,169,5
32,Mandatory multimedia encoding,143,5
33,Profound next generation open architecture,112,5
34,Open-source regional approach,207,5
35,Right-sized multi-tasking hardware,85,5
36,Implemented multi-tasking conglomeration,191,5
37,Diverse responsive architecture,246,5
38,Face-to-face uniform service-desk,87,5
39,Distributed multi-state product,93,5
40,Profound next generation open architecture,93,5
41,Distributed multi-state product,186,5
42,Triple-buffered analyzing paradigm,109,5
43,Operative asymmetric benchmark,62,5
44,Triple-buffered analyzing paradigm,189,5
45,Open-architected bottom-line infrastructure,153,5
46,Triple-buffered discrete process improvement,169,5
47,Fundamental incremental structure,120,5
48,Versatile tangible artificial intelligence,189,5
49,Exclusive client-server challenge,216,5
50,Sharable fault-tolerant solution,201,5
51,Inverse didactic moderator,248,5
